frame,face_id,x1,y1,x2,y2
301,0,693,262,742,328
301,1,261,169,312,245
301,2,489,187,539,245
302,0,695,263,744,326
302,1,260,172,311,245
302,2,491,187,539,243
303,0,696,267,744,327
303,1,258,170,312,243
304,0,256,169,312,242
304,1,698,266,747,328
304,2,488,177,540,238
305,0,256,168,312,239
305,1,700,267,749,329
305,2,496,175,546,237
306,0,253,165,312,237
306,1,700,265,754,329
307,0,250,166,311,240
307,1,701,263,753,326
308,0,249,165,310,240
308,1,703,261,752,324
308,2,491,175,546,238
309,0,248,165,309,241
309,1,706,257,758,324
309,2,494,173,548,237
310,0,249,167,310,242
310,1,492,171,549,238
310,2,708,260,757,320
311,0,251,169,311,245
311,1,492,169,551,239
311,2,709,257,758,317
312,0,251,170,312,248
312,1,710,251,761,315
312,2,495,171,550,236
313,0,251,173,313,251
313,1,711,250,762,313
314,0,252,177,315,253
314,1,711,245,764,312
315,0,715,245,765,309
315,1,253,183,317,257
315,2,493,175,542,243
316,0,490,174,543,239
316,1,253,187,317,260
316,2,719,246,767,307
317,0,490,174,543,239
317,1,255,191,319,262
318,0,489,173,544,239
318,1,253,195,319,270
318,2,832,158,896,239
319,0,490,171,543,238
319,1,254,201,319,272
319,2,833,161,897,243
320,0,490,171,543,238
320,1,257,206,321,275
320,2,835,162,898,242
321,0,490,171,543,238
321,1,259,208,321,278
322,0,490,171,543,238
322,1,259,210,324,282
322,2,840,158,904,236
323,0,490,171,544,240
323,1,260,210,328,284
324,0,490,171,545,239
324,1,263,209,329,283
325,0,491,172,546,240
325,1,264,211,332,284
325,2,742,244,790,304
326,0,492,174,546,241
326,1,745,246,796,306
326,2,266,212,335,283
326,3,827,184,899,254
327,0,493,174,547,242
327,1,266,210,338,286
327,2,744,244,800,313
328,0,494,175,548,245
328,1,273,207,342,283
328,2,748,244,804,314
329,0,494,177,548,246
329,1,278,206,345,281
329,2,752,245,808,313
330,0,496,180,551,248
330,1,281,204,347,278
330,2,757,250,803,314
331,0,498,182,552,249
331,1,283,202,353,276
331,2,762,253,809,313
332,0,289,203,356,275
332,1,500,184,554,252
332,2,762,252,812,317
333,0,293,201,358,274
333,1,764,253,815,318
333,2,502,186,556,253
334,0,503,183,559,257
334,1,296,199,360,274
334,2,770,255,820,315
335,0,298,198,366,273
335,1,504,186,561,259
335,2,773,254,823,316
336,0,775,253,826,317
336,1,508,190,563,261
336,2,300,198,368,272
337,0,776,253,831,320
337,1,306,197,371,271
337,2,512,196,563,262
338,0,310,196,373,268
338,1,779,252,833,320
338,2,513,195,566,263
339,0,314,194,380,267
339,1,785,253,838,316
339,2,515,194,567,263
340,0,789,252,842,316
340,1,318,194,384,266
340,2,516,194,567,264
341,0,321,193,386,265
341,1,791,252,842,312
341,2,517,196,568,266
342,0,325,192,388,264
342,1,795,250,845,311
342,2,519,196,570,267
343,0,329,189,394,264
343,1,799,248,849,309
343,2,518,197,570,268
344,0,334,188,397,263
344,1,803,243,854,306
344,2,521,201,572,270
345,0,339,189,400,264
345,1,805,241,857,305
345,2,521,200,572,271
346,0,346,187,404,264
346,1,806,237,859,304
346,2,522,203,571,272
347,0,347,185,407,266
347,1,809,236,863,303
347,2,524,204,572,273
348,0,349,184,409,266
348,1,811,233,867,303
348,2,524,204,573,275
349,0,350,185,411,266
349,1,813,230,870,303
349,2,524,207,572,276
350,0,355,184,415,266
350,1,817,231,873,304
350,2,525,209,571,275
351,0,359,185,419,268
351,1,820,234,873,301
351,2,525,208,573,277
352,0,364,185,422,270
352,1,823,233,875,301
352,2,524,206,574,277
353,0,368,188,423,271
353,1,824,235,877,298
353,2,524,207,576,275
354,0,370,186,426,270
354,1,827,234,877,299
354,2,524,205,576,272
355,0,372,184,433,272
355,1,523,203,577,271
355,2,828,235,877,298
356,0,376,183,437,271
356,1,523,203,578,271
356,2,830,231,881,301
357,0,381,182,438,268
357,1,524,200,578,269
358,0,384,180,441,265
358,1,523,199,578,267
359,0,384,180,442,261
359,1,523,197,578,264
360,0,388,178,446,260
360,1,524,192,579,261
361,0,392,177,449,257
361,1,525,191,579,259
362,0,395,180,454,255
362,1,526,190,580,258
362,2,840,236,899,309
363,0,399,181,457,254
363,1,526,188,582,253
363,2,842,238,897,303
364,0,402,182,459,253
364,1,527,186,583,251
365,0,528,181,584,246
365,1,402,183,459,252
366,0,403,182,459,251
366,1,530,179,584,242
367,0,404,180,461,248
367,1,528,175,587,244
368,0,406,180,464,248
369,0,406,177,465,246
370,0,407,177,466,245
371,0,407,177,465,244
371,1,538,159,595,236
372,0,408,175,467,243
373,0,407,173,467,244
374,0,407,171,468,244
375,0,407,171,468,244
376,0,407,170,468,245
377,0,407,172,467,244
